name,group,owner,language,homepage,streamUrl,bitrate,codec,logo,genres,nowPlayingApi,fm,dab,geo,rpuId,wikidata,catalogId,inCatalog
Radio 1 - Nur für Erwachsene,independent / community,,de,https://www.radio1.ch,https://stream.radio1.ch/128k,128,mpeg,https://assets.radioplayer.org/756/756158/600/600/l5upjbcp.png,1980s|Pop,,,,"46.948,7.447",NzU2fjE1OA,,ch-radio1-ch,Y
2Go.CH,,,,https://radio2go.fm/player/iframe.html,https://uksoutha.streaming.broadcast.radio/radio2go,128,mpeg,https://assets.radioplayer.org/756/756204/600/600/llcxlmt4.png,1980s|Pop,,,,"47.48,8.211",NzU2fjIwNA,,ch-radio-2go,Y
Radio 3FACH,independent / community,,de,http://3fach.ch/radioplayer/api/3fachinfo.php,https://stream01.3fach.ch/live,320,mpeg,https://assets.radioplayer.org/756/756150/600/600/l45ae2mj.png,Alternative / Indie|Rap / Hip Hop / Reggae,,,,"46.948,7.447",NzU2fjE1MA,,ch-radio-3fach,Y
Radio 24,CH Media,,de,https://www.radio24.ch/,https://stream.streambase.ch/radio24/mp3-192,192,mpeg,https://assets.radioplayer.org/756/756129/600/600/l458pixl.png,Pop,CH Media,,Y,"47.4186,8.5552",NzU2fjEyOQ,,ch-radio24,Y
Radio 32,CH Media,,de,https://www.radio32.ch,https://stream.streambase.ch/radio32/mp3-192,192,mpeg,https://assets.radioplayer.org/756/756144/600/600/ldikxwk3.png,News,CH Media,Y,Y,"47.2041,7.5428",NzU2fjE0NA,,ch-radio-32,Y
Goldies,CH Media,,de,https://srp.radio32.ch/goldies/console,https://stream.streambase.ch/r32goldies/mp3-192,192,mpeg,https://assets.radioplayer.org/756/756145/600/600/m4a61k7h.png,1980s|Oldies,CH Media,,,,NzU2fjE0NQ,,,
105 DJ Radio - Today's Best Music,,,,https://www.my105.ch,https://stream01.my105.ch/my105original-rp.mp3,128,mpeg,https://assets.radioplayer.org/756/756156/600/600/lbly9b28.jpeg,Hit-Chart|Dance / Dance-Pop,,,,"46.948,7.447",NzU2fjE1Ng,,ch-my105-x-mas,Y
Radio Argovia,CH Media,,de,https://www.argovia.ch/,https://stream.streambase.ch/argovia/mp3-192,192,mpeg,https://assets.radioplayer.org/756/756128/600/600/l458sc45.png,Hit-Chart|Pop,CH Media,Y,Y,"47.32,7.8972",NzU2fjEyOA,,ch-radio-argovia,Y
Radio Basilisk,independent / community,,de,https://console.swissradioplayer.ch/stations/live/107/index.html,https://radiobasilisk-64.ice.infomaniak.ch/radiobasilisk-64-128-2.mp3,128,mpeg,https://assets.radioplayer.org/756/756107/600/600/l459q9vz.png,Hit-Chart|Pop,Infomaniak (Romandie),,Y,"0,0",NzU2fjEwNw,,ch-radio-basilisk,Y
Radio Berner Oberland,independent / community,,de,https://www.radiobeo.ch/playlist/,https://streaming.radiobeo.ch/beo/mp3_192/web,192,mpeg,https://assets.radioplayer.org/756/756120/600/600/meiube1p.png,News|Pop-Rock,,,,,NzU2fjEyMA,,,
Radio Bern RaBe,independent / community,,de,http://radioplayer.rabe.ch/,https://stream.rabe.ch/livestream/rabe-hd.mp3,320,mpeg,https://assets.radioplayer.org/756/756141/600/600/l458naih.png,Pop-Rock|Alternative / Indie,,,,,NzU2fjE0MQ,,,
RADIO BERN1,CH Media,,de,https://radiobern1.ch,https://stream.streambase.ch/radiobern1/mp3-192,192,mpeg,https://assets.radioplayer.org/756/756102/600/600/l458ptou.png,Hit-Chart|Pop,CH Media,,Y,"0,0",NzU2fjEwMg,,ch-radio-bern1,Y
Break Radio,,,,https://www.breakradio.ch/,https://breakradio.ice.infomaniak.ch/breakradio-192.mp3,192,mpeg,https://assets.radioplayer.org/756/756207/600/600/lh7iu1yw.jpeg,RNB|Rap / Hip Hop / Reggae,Infomaniak (Romandie),,,"46.225,7.352",NzU2fjIwNw,,ch-break-radio,Y
Radio Canal 3,independent / community,,de,https://web.canal3.ch/livestream/de/,https://radio.upstream-cloud.ch/canal3allemand-192.mp3,192,mpeg,https://assets.radioplayer.org/756/756104/600/600/l459p7ou.png,Hit-Chart|Pop,,,,"47.136,7.243",NzU2fjEwNA,,ch-canal3-deutsch,Y
Radio Central,CH Media,,de,https://www.radiocentral.ch/,https://stream.streambase.ch/rcentral/mp3-192,192,mpeg,https://assets.radioplayer.org/756/756136/600/600/l45ad97z.png,News|Pop,CH Media,Y,Y,"0,0",NzU2fjEzNg,,ch-radio-central,Y
Radio Central 2,CH Media,,de,https://www.radiocentral.ch/,https://stream.streambase.ch/rcentralasz/mp3-192,192,mpeg,https://assets.radioplayer.org/756/756137/600/600/l459q9to.png,News|Pop,CH Media,,,"0,0",NzU2fjEzNw,,ch-radio-central,Y
Radio Chablais,independent,,fr,https://radiochablais.ch/,https://radiochablais.ice.infomaniak.ch/radiochablais-high.mp3,128,mpeg,https://assets.radioplayer.org/756/7565018/600/600/l458lrnd.png,Hit-Chart|1990s,Infomaniak (Romandie),Y,Y,"0,0",NzU2fjUwMTg,,ch-radio-chablais,Y
Country Radio Switzerland,,,,https://radioplayer.countryradio.ch,https://listen.countryradio.ch/,320,mpeg,https://assets.radioplayer.org/756/756182/600/600/l458q8r9.png,Country,,,,"46.948,7.447",NzU2fjE4Mg,,ch-country-radio-switzerland,Y
diis Radio,independent / community,,de,http://www.diis.ch/console/,https://cast4.asurahosting.com/proxy/diisradi/stream,256,mpeg,https://assets.radioplayer.org/756/756112/600/600/l459qj4o.png,Oldies|Pop,,,,,NzU2fjExMg,,,
THE STAGE,,,,https://www.drift.fm/play,https://stream.teak.media/thestage/mp3_192,192,mpeg,https://assets.radioplayer.org/756/756198/600/600/mpf7gluk.jpeg,Rock|Country,,,,"46.948,7.447",NzU2fjE5OA,,ch-driftfm,Y
ELLIPTICUM,,,,http://onedancefm.ch/player.ch,https://live.ellipticum.radio/elli_ch.mp3,128,mpeg,https://assets.radioplayer.org/756/756183/600/600/m406h6wq.png,Dance / Dance-Pop,,,,"46.948,7.447",NzU2fjE4Mw,,ch-one-dance-ticino,Y
Radio ERF Plus,independent / community,,de,https://radio-erf-plus.ch/radioplayer_erfplus/index.html,https://stream1.lifechannel.ch/ERFPLUS,192,mpeg,https://assets.radioplayer.org/756/756134/600/600/l459snv3.png,Pop|Alternative / Indie,,,,,NzU2fjEzNA,,,
Radio EVIVA,CH Media,,de,https://www.eviva.ch/,https://stream.streambase.ch/reviva/mp3-192,192,mpeg,https://assets.radioplayer.org/756/756139/600/600/l45aiwaq.png,Volksmusik,CH Media,,,"47.1449,8.4343",NzU2fjEzOQ,,ch-radio-eviva,Y
FLASHBACK FM,CH Media,,de,https://www.flashbackfm.ch/,https://stream.streambase.ch/ffm/mp3-192,192,mpeg,https://assets.radioplayer.org/756/756130/600/600/l5uoouyg.png,1980s|Pop,CH Media,,,,NzU2fjEzMA,,,
FM1,CH Media,,de,https://www.radiofm1.ch/,https://stream.streambase.ch/radiofm1/mp3-192,192,mpeg,https://assets.radioplayer.org/756/756122/600/600/m4a5uyaw.jpeg,Pop,CH Media,Y,Y,"47.4312,9.3787",NzU2fjEyMg,,ch-radio-fm1,Y
RadioFr. Fresh,independent,,fr,https://www.radiofr.ch/radioplayer/fresh,https://radiofresh.ice.infomaniak.ch/radiofresh.aac,128,aac,https://assets.radioplayer.org/756/756147/600/600/l5uotg6p.png,Oldies|Pop,Infomaniak (Romandie),,,"46.948,7.447",NzU2fjE0Nw,,ch-radio-fribourg,Y
Frequence Broadway Radio,independent,,fr,,https://frequencebroadway.ice.infomaniak.ch/frequencebroadway-128.mp3,128,mpeg,https://assets.radioplayer.org/756/756208/600/600/lh7ig401.png,Oldies|Love Songs,Infomaniak (Romandie),,,,NzU2fjIwOA,,,
RadioFr. Fribourg,independent,,fr,https://www.radiofr.ch/radioplayer/fribourg,https://radiofribourg.ice.infomaniak.ch/radiofribourg-high.aac,64,aac,https://assets.radioplayer.org/756/7565014/600/600/l459sx8g.png,Oldies|Pop,Infomaniak (Romandie),,,"46.948,7.447",NzU2fjUwMTQ,,ch-radio-fribourg,Y
RadioFr. Freiburg,independent,,fr,http://www.radiofr.ch/radioplayer/freiburg,https://radiofreiburg.ice.infomaniak.ch/radiofreiburg-high.mp3,64,mpeg,https://assets.radioplayer.org/756/7565015/600/600/l458m1oi.png,Oldies|Pop,Infomaniak (Romandie),,,"46.948,7.447",NzU2fjUwMTU,,ch-radio-fribourg,Y
GOAT Greatest Hits Radio,,,,https://audio.20min.ch,https://20min.dmd2streaming.com/20minuten_radio_128.mp3,128,mpeg,https://assets.radioplayer.org/756/756191/600/600/ler6q1en.png,1980s|1990s,,,,"46.948,7.447",NzU2fjE5MQ,,ch-goat-radio,Y
Radio Grischa,independent / community,,de,https://radiogrischa.ch,https://stream.radiogrischa.ch/radiogrischa/mp3_128/swissradioplayer,128,mpeg,https://assets.radioplayer.org/756/756108/600/600/m4cejas6.jpeg,News|Hit-Chart,,Y,Y,"46.948,7.447",NzU2fjEwOA,,ch-radio-grischa,Y
GRRIF,BNJ,,fr,https://www.grrif.ch/swissradioplayer,https://grrif.ice.infomaniak.ch/grrif-high.mp3,128,mpeg,https://assets.radioplayer.org/756/7565030/600/600/l459r2n2.png,Rock,Infomaniak (Romandie),Y,Y,"47.3656,7.3434",NzU2fjUwMzA,,builtin-grrif,Y
IP music,,,,https://www.ipmusic.ch/ipmusic-swissradioplayer.html,https://live9.avf.ch/ipmusic256,256,mpeg,https://assets.radioplayer.org/756/75610008/600/600/l5uoii6r.png,1980s|Disco/Party,,,,,NzU2fjEwMDA4,,,
IP music SLOW,,,,https://www.ipmusicslow.ch/ipmusicslow-swissradioplayer.html,https://live9.avf.ch/ipmusicslow256,256,mpeg,https://assets.radioplayer.org/756/75610009/600/600/l5uoil9a.png,Love Songs|Pop-Rock,,,,"46.948,7.447",NzU2fjEwMDA5,,ch-ip-music-slow-aacplus-96-kb-s,Y
Radio Italia Solo Musica Italiana,Ticino (indep.),,it,https://www.radioitalia.it/partnership/radio-italia-dab---svizzera-438356,https://radioitaliasmi.akamaized.net/hls/live/2093120/RISMI/master.m3u8,96,x-mpegurl,https://assets.radioplayer.org/756/7568001/600/600/l458qi37.png,Chanson / Ballad,,,,,NzU2fjgwMDE,,,
JAMES FM - good times only,independent / community,,de,https://www.jamesfm.ch,https://jamesfm.ice.infomaniak.ch/jamesfm.mp3,128,mpeg,https://assets.radioplayer.org/756/756148/600/600/led809c6.png,Pop-Rock|Pop,Infomaniak (Romandie),,,"47.162,8.437",NzU2fjE0OA,,ch-james-fm,Y
Kanal K,independent / community,,de,https://kanalk.ch/radioplayer/,https://play.kanalk.ch/kanalk/mp3-192/radioplayer,192,mpeg,https://assets.radioplayer.org/756/756140/600/600/lnls5hyr.png,Alternative / Indie,,,Y,"0,0",NzU2fjE0MA,,ch-kanal-k,Y
Radio Lac,Media One Group,,fr,https://www.radiolac.ch/swissradioplayer,https://radiolac.ice.infomaniak.ch/radiolac-high.mp3,128,mpeg,https://assets.radioplayer.org/756/7565013/600/600/l459tqlh.png,News,Infomaniak (Romandie),,Y,"46.948,7.447",NzU2fjUwMTM,,ch-radio-lac,Y
Radio LFM,Media One Group,,fr,https://www.lfm.ch/swissradioplayer/infos/,https://lausannefm.ice.infomaniak.ch/lausannefm-high.mp3,128,mpeg,https://assets.radioplayer.org/756/7565002/600/600/l459qf1p.png,News|Pop,Infomaniak (Romandie),,Y,"46.948,7.447",NzU2fjUwMDI,,ch-lfm,Y
Radio Life Channel,independent / community,,de,https://radio.lifechannel.ch/radioplayer_lifechannel/index.html,https://stream1.lifechannel.ch/LIFECHANNEL,192,mpeg,https://assets.radioplayer.org/756/756132/600/600/m2ag7bk4.png,Pop|Alternative / Indie,,,,,NzU2fjEzMg,,,
Radio LoRa,independent / community,,de,https://srp.loratech.ch/radioplayer2,https://lora.ice.infomaniak.ch/lora.mp3,48,mpeg,https://assets.radioplayer.org/756/756197/600/600/m3eornm0.png,Alternative / Indie,Infomaniak (Romandie),,Y,,NzU2fjE5Nw,,,
Magic Radio Switzerland,independent / community,,de,https://www.magicradio.ch/pages/pochettesSRP.php,https://www.magicradio.ch/magic-high.m3u,128,x-mpegurl,https://assets.radioplayer.org/756/7565034/600/600/l45bzya8.png,Pop|Dance / Dance-Pop,,,,,NzU2fjUwMzQ,,,
Radio Melody,CH Media,,de,https://www.radiomelody.ch/,https://stream.streambase.ch/rm/mp3-192,192,mpeg,https://assets.radioplayer.org/756/756123/600/600/l459q0qs.png,Easy listening,CH Media,,,"0,0",NzU2fjEyMw,,ch-radio-melody,Y
Radio Munot,independent / community,,de,http://player.radiomunot.ch,https://streaming.radiomunot.ch/munot/mp3_128,128,mpeg,https://assets.radioplayer.org/756/756100/600/600/l45bzl3c.png,News|Pop,,Y,Y,"47.692,8.626",NzU2fjEwMA,,ch-radio-munot,Y
Radio neo1,independent / community,,de,http://player.neo1.ch,https://webradio.neo1.ch/neo1,128,mpeg,https://assets.radioplayer.org/756/756184/600/600/l5uokj24.png,Hit-Chart|Pop-Rock,,Y,Y,"46.939,7.784",NzU2fjE4NA,,ch-neo1,Y
Urbn Radio,,,,http://www.onefm.ch/swissradioplayer/urban,https://dr2103.ice.infomaniak.ch/dr2103.mp3,128,mpeg,https://assets.radioplayer.org/756/7565010/600/600/lsbjbqpe.png,RNB|Rap / Hip Hop / Reggae,Infomaniak (Romandie),,,"46.948,7.447",NzU2fjUwMTA,,ch-one-fm-2000s,Y
One FM,Media One Group,,fr,http://www.onefm.ch/swissradioplayer,https://onefm.ice.infomaniak.ch/onefm-high.mp3,128,mpeg,https://assets.radioplayer.org/756/7565005/600/600/l459piq0.png,Pop|Dance / Dance-Pop,Infomaniak (Romandie),Y,Y,"46.948,7.447",NzU2fjUwMDU,,ch-one-fm-2000s,Y
YES FM,Media One Group,,fr,http://www.onefm.ch/swissradioplayer/hits,https://yesfm.ice.infomaniak.ch/yesfm-high.mp3,128,mpeg,https://assets.radioplayer.org/756/7565009/600/600/lx8m929b.png,1980s|1990s,Infomaniak (Romandie),,,"46.948,7.447",NzU2fjUwMDk,,ch-one-fm-2000s,Y
Radio Pilatus,CH Media,,de,https://www.radiopilatus.ch,https://stream.streambase.ch/radiopilatus/mp3-192,192,mpeg,https://assets.radioplayer.org/756/756113/600/600/l5upkly1.png,Pop|Rock,CH Media,Y,Y,"0,0",NzU2fjExMw,,ch-radio-pilatus,Y
Positiva,,,,,,,,https://assets.radioplayer.org/756/756232/600/600/lkgy3xyd.png,,,,,,NzU2fjIzMg,,,
powerup_radio,,,,https://www.powerup.ch/powerup-live,https://powerupradio.ice.infomaniak.ch/powerupradio-192.mp3,192,mpeg,https://assets.radioplayer.org/756/75610006/11/1148-mqht5re6.png,Alternative / Indie,Infomaniak (Romandie),,,,NzU2fjEwMDA2,,,
Radio3i,Ticino (indep.),,it,https://radio3i.ch/srplayer/player/index.html,https://icecast.gruppocdt.ch/radio3i-256.mp3,256,mpeg,https://assets.radioplayer.org/756/7568002/600/600/l5uoprf3.png,Pop|Chanson / Ballad,,,,"46.948,7.447",NzU2fjgwMDI,,ch-radio3i,Y
RADIO R,independent,,fr,https://radio-r.ch/radioplayer/,https://radior.ice.infomaniak.ch/radior-96.aac,96,aac,https://assets.radioplayer.org/756/7565035/600/600/l5upjt2f.png,Pop-Rock|Pop,Infomaniak (Romandie),,,"46.948,7.447",NzU2fjUwMzU,,ch-radio-r-louange,Y
Radio Ticino,Ticino (indep.),,it,http://console.swissradioplayer.ch/stations/live/8000/index.html,https://streaming.smartradio.ch/stream/direttalq/stream.pls,96,aac,https://assets.radioplayer.org/756/7568000/600/600/l458o6ib.png,Pop|Chanson / Ballad,,Y,Y,,NzU2fjgwMDA,,,
RFJ,BNJ,,fr,https://www.rfj.ch/swissradioplayer,https://rfj.ice.infomaniak.ch/rfj-high.mp3,128,mpeg,https://assets.radioplayer.org/756/7565029/11/1084-mhoohbq4.png,News|Pop-Rock,Infomaniak (Romandie),Y,Y,"46.948,7.447",NzU2fjUwMjk,,ch-rfj,Y
Rhône FM,ESH Médias,,fr,https://www.rhonefm.ch/,https://rhonefm.ice.infomaniak.ch/rhonefm-high.aac,64,aac,https://assets.radioplayer.org/756/7565016/600/600/ln01cs36.jpeg,News|Pop-Rock,Infomaniak (Romandie),Y,Y,"0,0",NzU2fjUwMTY,,ch-rhone-fm,Y
RJB,BNJ,,fr,http://www.rjb.ch/swissradioplayer,https://rjb.ice.infomaniak.ch/rjb-128.aac,128,aac,https://assets.radioplayer.org/756/7565027/11/1084-mgjed075.png,News|Pop-Rock,Infomaniak (Romandie),Y,Y,"0,0",NzU2fjUwMjc,,ch-radio-jura-bernois,Y
Radio Rottu Oberwallis,independent / community,,de,http://rro.ch/playrro/,https://streaming.rro.ch/rro/mp3_128/swissradioplayer,128,mpeg,https://assets.radioplayer.org/756/756109/600/600/l459r1yf.png,Hit-Chart|Pop,,Y,Y,,NzU2fjEwOQ,,,
rro HITBOX,independent / community,,de,http://rro.ch/playpur,https://streaming.rro.ch/rro_musigpur/mp3_128/swissradioplayer,128,mpeg,https://assets.radioplayer.org/756/756110/600/600/lxerr5om.png,Hit-Chart|Easy listening,,,,,NzU2fjExMA,,,
rro swiss melody,independent / community,,de,http://rro.ch/playmelody,https://streaming.rro.ch/rro_swissmelody/mp3_128/swissradioplayer,128,mpeg,https://assets.radioplayer.org/756/756111/600/600/l458v3h5.png,Easy listening|Volksmusik,,,,,NzU2fjExMQ,,,
Rock Star,,,,http://radiosport.ch/radioplayer/index.html,https://dr2102.ice.infomaniak.ch/dr2102.mp3,128,mpeg,https://assets.radioplayer.org/756/7565020/600/600/lsagfu4o.png,Rock,Infomaniak (Romandie),,,"46.521,6.633",NzU2fjUwMjA,,ch-rockstar-radio,Y
Kiss Collector,,,,http://rougefm.com/radioplayer/rouge80/index.html,https://dr2101.ice.infomaniak.ch/dr2101.mp3,128,mpeg,https://assets.radioplayer.org/756/7565023/600/600/lsbheslz.png,1980s,Infomaniak (Romandie),,,"0,0",NzU2fjUwMjM,,ch-rouge-fm-latino,Y
ROUGE,Media One Group,,fr,http://rougefm.com/radioplayer/rougefm/index.html,https://rougefm.ice.infomaniak.ch/rougefm-high.mp3,128,mpeg,https://assets.radioplayer.org/756/7565026/600/600/l459gqic.png,Pop-Rock,Infomaniak (Romandie),Y,Y,"0,0",NzU2fjUwMjY,,ch-rouge-fm-latino,Y
RSI Rete Due,SRG SSR · RSI,,it,https://cdn.rsi.ch/console/retedue/,https://stxt-audiostreaming.akamaized.net/hls/live/2117380/retedue/variant-96.m3u8,96,application/vnd.apple.mpegurl,https://assets.radioplayer.org/756/7568004/600/600/l458vej2.png,Jazz|Musica popolare,,,,"46.005,8.952",NzU2fjgwMDQ,,builtin-rsi-rete-due,Y
RSI Rete Tre,SRG SSR · RSI,,it,https://cdn.rsi.ch/console/retetre/,https://stxt-audiostreaming.akamaized.net/hls/live/2117380/retetre/variant-96.m3u8,96,application/vnd.apple.mpegurl,https://assets.radioplayer.org/756/7568005/600/600/l5upno3q.png,Pop|Rock,,,,"46.005,8.952",NzU2fjgwMDU,,builtin-rsi-rete-tre,Y
RSI Rete Uno,SRG SSR · RSI,,it,https://cdn.rsi.ch/console/reteuno/,https://stxt-audiostreaming.akamaized.net/hls/live/2117380/reteuno/variant-96.m3u8,96,application/vnd.apple.mpegurl,https://assets.radioplayer.org/756/7568003/600/600/l458qgoi.png,News|Pop,,,,"46.005,8.952",NzU2fjgwMDM,,builtin-rsi-rete-uno,Y
RTN,BNJ,,fr,http://www.rtn.ch/swissradioplayer,https://rtn.ice.infomaniak.ch/rtn-high.mp3,128,mpeg,https://assets.radioplayer.org/756/7565028/11/1084-mhoofp5q.png,News|Pop-Rock,Infomaniak (Romandie),Y,Y,"46.948,7.447",NzU2fjUwMjg,,ch-rtn,Y
Radio RTR,SRG SSR · RTR,Radiotelevisiun Svizra Rumantscha,rm,https://console.swissradioplayer.ch/stations/live/181/index.html,https://stxt-audiostreaming.akamaized.net/hls/live/2117380/rr/variant-96.m3u8,96,application/vnd.apple.mpegurl,https://assets.radioplayer.org/756/756181/600/600/l5ussh9l.png,News|Volksmusik,,,,,NzU2fjE4MQ,,,
RTS Couleur 3,SRG SSR · RTS,Radio télévision suisse,fr,https://www.rts.ch/swissradioplayer/couleur-3,https://stxt-audiostreaming.akamaized.net/hls/live/2117380/couleur3/variant-96.m3u8,96,application/vnd.apple.mpegurl,https://assets.radioplayer.org/756/7565038/600/600/m1fhcbm5.jpeg,News,,,,"46.516,6.633",NzU2fjUwMzg,,builtin-rts-la-1ere,Y
